"","show_title","imdb_rating","release_year","runtime","genre","parental_guideline","imdb_votes","synopsis"
"150","Ninjago: Masters of Spinjitzu","7.3","2011-2019",30,"Animation, Action, Adventure","TV-Y7",4169,"When the fate of their world, Ninjago, is challenged by great threats, it's up to the ninja: Kai, Jay, Cole, Zane, Lloyd and Nya to save the world."
"151","Teenage Mutant Ninja Turtles","7.8","2003-2010",30,"Animation, Action, Adventure","TV-Y7",9908,"The continuing adventures of a quartet of turtle superheroes."
"152","The Spectacular Spider-Man","8.3","2008-2009",23,"Animation, Action, Adventure","TV-Y7",13613,"An animated television show that focuses on a sixteen-year-old Peter Parker, and the origins of Spider-Man."
"153","The Powerpuff Girls","7.3","1998-2005",30,"Animation, Action, Adventure","TV-Y7-FV",40899,"Three super-powered little girls constantly save the world (or at least the city of Townsville) from monsters, would-be conquerers and a few other gross things."
"154","The New Batman Adventures","8.5","1997-1999",30,"Animation, Action, Adventure","TV-PG",16638,"The further and darker adventures of Batman with a new Robin, a closer association with Batgirl and the previous Robin now as Nightwing."
"155","Kid Cosmic","7.9","2021-2022",25,"Animation, Short, Action","TV-Y7",1282,"A young boy who dreams of becoming a hero, stumbles across some cosmic stones of power. His dreams appear to have come true."
"156","Lab Rats","6.6","2012-2016",22,"Action, Comedy, Drama","TV-Y7",5719,"A scrawny 14-year-old, having discovered his inventor stepdad has three bionic, super-powered teens living cloistered in a secret lab beneath their home, brings them out into the world."
"157","He-Man and the Masters of the Universe","6","2021-2022",26,"Animation, Action, Adventure","TV-Y7",1440,"Eternia's Prince Adam discovers the power of Grayskull and transforms into He-Man, Master of the Universe. A reimagining of the classic animated series."
"158","Resident Evil: Infinite Darkness","5.8","2021-",26,"Animation, Action, Horror","TV-MA",9527,"Federal agent Leon S. Kennedy teams up with TerraSave staff member Claire Redfield to investigate a zombie outbreak. Based on the popular video game series of the same name by Capcom."
"159","Superman: The Animated Series","8.1","1996-2000",30,"Animation, Action, Adventure","TV-PG",15309,"The last son of the planet Krypton protects his adoptive home of Earth as the greatest of the superheroes."
"160","Mod Squad","6.9","1968-1973",60,"Action, Crime, Drama","TV-PG",1979,"A trio of reformed juvenile delinquents work as undercover cops."
"161","Spider-Man","6.2","2017-2020",44,"Animation, Action, Adventure","TV-Y7",2386,"Peter Parker, a new student at the famous Horizon High, fights evil super-villains as the costumed superhero, Spider-Man."
"162","Voltron: Legendary Defender","8","2016-2018",23,"Animation, Action, Adventure","TV-Y7-FV",8569,"Five teenagers become the last line of defense for the galaxy in an intergalactic battle against the evil alien force led by King Zarkon."
"163","I Am Groot",NA,"2022-",NA,"Animation, Short, Action",NA,NA,"A series of shorts featuring the seedling Groot along with several new and unusual characters."
"164","Birds of Prey","6.4","2002-2003",60,"Action, Adventure, Drama","TV-14",5054,"In the future, long after the Batman has driven himself into exile, his legacy lives on in the form of the Birds of Prey--Black Canary, Oracle, and the Huntress."
"165","No Ordinary Family","6.9","2010-2011",60,"Action, Comedy, Drama","TV-PG",16540,"The Powells are a typical American family living in Pacific Bay, California, whose members gain special powers after their plane crashes in the Amazon."
"166","He-Man and the Masters of the Universe","7.5","1983-1985",30,"Animation, Action, Adventure","TV-Y7",18194,"The most powerful man in the universe, He-Man, goes against the evil forces of Skeletor to save the planet Eternia and to protect the secrets of Castle Grayskull."
"167","The Transformers","8","1984-1987",30,"Animation, Action, Adventure","TV-Y7",21574,"Two opposing factions of transforming alien robots engage in a battle that has the fate of Earth in the balance."
"168","Marvel's M.O.D.O.K.","6.3","2021-",22,"Animation, Action, Comedy","TV-MA",4610,"It centers around an egomaniacal supervillain with a really big head and a really little body, who struggles to maintain control of his evil organization and his demanding family."
"169","Drawn Together","7","2004-2007",22,"Animation, Comedy, Reality-TV","TV-MA",19992,"A parody of reality shows cast with spoofs of several famous types of animated characters."
"170","WordGirl","6.9","2007-2022",30,"Animation, Short, Action","TV-Y7",1185,"Satirical yet educational animated series about a young girl who is secretly the superhero Wordgirl, armed with superhuman strength, abilities, and a skilled vocabulary."
"171","Sonic Prime",NA,"2022-",22,"Animation, Action, Adventure","TV-Y7",NA,"Sonic in a high-octane adventure where the fate of a strange new multiverse rests in his gloved hands."
"172","Dragon Ball Z","8.7","1989-1996",24,"Animation, Action, Adventure","TV-PG",76303,"The adventures of Earth's martial arts defender Son Goku continue with a new family and the revelation of his alien origin. Now Goku and his allies must defend the planet from an onslaught of new extraterrestrial enemies."
"173","Ben 10","3.1","2016-2021",12,"Animation, Short, Action","TV-Y7-FV",4394,"Ben 10 is the fifth iteration of the Ben 10 franchise. It serves as a reboot of the television series loosely based upon the original series."
"174","PJ Masks","5.4","2015-",24,"Animation, Action, Adventure","TV-Y",1178,"When young friends Connor, Amaya, and Greg put on their pajamas and activate their animal amulets, they turn into their alter egos: Catboy, Owlette, and Gekko as they embark on adventures that are filled with action."
"175","The Amazing Spider-Man","6.3","1977-1979",60,"Action, Adventure, Crime","TV-PG",2299,"With the powers given by the bite of a radioactive spider, a young man fights crime as a wall-crawling superhero."
"176","Danny Phantom","7.1","2003-2007",30,"Animation, Action, Adventure","TV-Y7-FV",17430,"A 14-year-old receives ghost powers and uses them to save the world."
"177","The Bionic Woman","6.7","1976-1978",60,"Action, Adventure, Drama","TV-PG",7051,"After fully recovering from her nearly fatal bout of bionic rejection, Jaime Sommers, the first female cyborg, is assigned to spy missions of her own."
"178","Dragon Ball","8.5","1995-2003",24,"Animation, Action, Adventure","TV-14",58047,"Dragon Ball tells the tale of a young warrior by the name of Son Goku, a young peculiar boy with a tail who embarks on a quest to become stronger and learns of the Dragon Balls, when, once all 7 are gathered, grant any wish of choice."
"179","Codename: Kids Next Door","7.2","2002-2008",23,"Animation, Action, Adventure","TV-Y7",19504,"The adventures of a group of ten-year-old friends who fight for the right to do everything that adults restrict from them."
"180","Weird Science","6.8","1994-1998",30,"Comedy, Fantasy, Sci-Fi","TV-PG",3611,"Gary Wallace and Wyatt Donnelly create their dream woman, Lisa, on their computer. Lisa has extraordinary powers and can grant the boys their wishes for short periods of time."
"181","Marvel Zombies","Not-Rated","TBA",NA,"Animation, Action, Adventure",NA,NA,"Re-imagines the marvel universe as a new generation of heroes battle against an ever-spreading zombie scourge."
"182","Dexter's Laboratory","7.9","1996-2003",23,"Animation, Adventure, Comedy","TV-G",47213,"The misadventures of a boy genius and his annoying sister."
"183","Spider-Man: Freshman Year","Not-Rated","TBA",NA,"Animation, Action, Adventure",NA,NA,"The animated series follows Peter Parker on his way to becoming Spider-Man in the MCU, with a journey unlike we've ever seen and a style that celebrates the character's early comic book roots."
"184","Super Crooks","7.2","2021-",30,"Animation, Action, Adventure","TV-MA",1764,"Johnny Bolt recruits a group of ragtag supervillains for one last heist. Their target: A ruthless super-powered crime boss. What can go wrong?"
"185","Powerpuff","Not-Rated","TBA",NA,"Action, Adventure, Comedy",NA,NA,"Three disillusioned women in their 20s with superpowers who used to fight crime together and now resent having lost their childhood to that are faced with the choice of reuniting now that the world needs them more than ever."
"186","Lucky Man","7.2","2016-2018",60,"Action, Crime, Drama","TV-14",5867,"From the mind of comic book legend Stan Lee comes a bold new action crime series about a brilliant but flawed police officer with the power to control luck."
"187","Buzz Lightyear of Star Command","6.7","2000-2001",30,"Animation, Action, Adventure","TV-Y7",3249,"The further adventures of Buzz Lightyear as a Space Ranger of Star Command and his comrades."
"188","Stripperella","5.6","2003-2004",30,"Animation, Action, Comedy","TV-MA",1362,"Pamela Anderson provides the voice of Erotica Jones who is stripper by night and superhero Stripperella by even later at night."
"189","Yu Yu Hakusho: Ghost Files","8.4","1992-1995",24,"Animation, Action, Adventure","TV-PG",13067,"One day, 14-year-old Yusuke Urameshi suddenly finds himself dead, having died pushing a child out of the way of oncoming traffic. Since he has such a bad personality, even the Spirit World ... See full summary »"
"190","Sailor Moon","7.6","1995-2000",24,"Animation, Action, Adventure","TV-Y",12471,"The magical action-adventures of a teenage girl who learns of her destiny as the legendary warrior Sailor Moon and must band together with the other Sailor Scouts to defend the Earth and Galaxy."
"191","Spawn","8.1","1997-1999",30,"Animation, Action, Adventure","TV-MA",8591,"After being betrayed and murdered by his employer, a government trained assassin is resurrected as a Hellspawn, then being forced to act as the reluctant leader of Hell's army."
"192","Tarzan","7.1","1966-1968",60,"Action, Adventure",NA,923,"Tarzan (Lord Greystoke), already well educated and fed up with civilization, returns to the jungle and, more or less assisted by chimpanzee Cheetah and orphan boy Jai, wages war against poachers and other bad guys."
"193","The Avengers: Earth's Mightiest Heroes","8.3","2010-2012",30,"Animation, Action, Adventure","TV-Y7",14518,"After 74 villains break out of prison, Marvel's most powerful superheroes team up to capture all of them, and also to defend the Earth from widespread threats."
"194","Sailor Moon","7.8","1992-1997",30,"Animation, Action, Adventure","TV-PG",6058,"A group of schoolgirls discover they are incarnations of super-powered alien princesses, and use their abilities to defend the earth."
"195","RWBY","7.6","2012-",13,"Animation, Action, Adventure","TV-PG",6038,"4 Teenage girls form Team RWBY and train to fight crime and monsters known as the Grimm, while the world of Remnant remains on the brink of an all out war."
"196","Winx Club","6.2","2004-2019",25,"Animation, Action, Adventure","TV-Y7",6720,"The Winx have a mission in hand, reaching their final fairy stage. But trouble arises as Valtor escapes from the Omega Dimension and teams up with the Trix."
"197","DC Super Hero Girls","7.1","2019-",11,"Animation, Action, Adventure","TV-PG",1172,"Teenage versions of DC Comics superheroines both attend high school and fight crime to protect the citizens of Metropolis."
"198","Power Rangers Ninja Steel","6","2017-2018",21,"Action, Adventure, Drama","TV-Y7",851,"A new team of superhuman power rangers must work together and use their new ninja powers to prevent evil from dominating the human race and from destroying the planet earth and the universe"
"199","Trese","7","2021-",33,"Animation, Action, Adventure","TV-MA",3527,"Set in Manila where the mythical creatures of Philippine folklore live in hiding amongst humans, Alexandra Trese finds herself going head to head with a criminal underworld comprised of malevolent supernatural beings."
"200","Shazam!","6.7","1974-1977",30,"Action, Family, Fantasy","TV-Y7-FV",1417,"A young boy, able to transform into the superhero Captain Marvel, travels the country fighting evil and helping people."
"201","Sonic Boom","7","2014-2017",11,"Animation, Short, Action","TV-Y7",5895,"23 years after the original Sonic the Hedgehog video game, fast, handsome, and arrogant hero Sonic continues to fight his arch nemesis, Dr. Eggman. Along with Tails, Knuckles, Amy, and a new recruit named Sticks."
"202","Blade: The Series","6.3","2006",60,"Action, Drama, Fantasy","TV-14",5484,"The adventures of the half human/vampire hunter."
"203","Land of the Giants","7.1","1968-1970",60,"Sci-Fi","TV-G",2459,"A spaceship from Earth crash-lands on an Earth-like planet on which everything, including the human-like inhabitants, is twelve times the size of its counterpart on Earth."
"204","Mutant X","6","2001-2004",60,"Action, Adventure, Drama","TV-PG",4243,"A fugitive geneticist and four of his ""creations"" search for others of their kind while attempting to stay a step ahead of a morally ambiguous government agent."
"205","Zorro","8.2","1957-1959",30,"Adventure, Western","TV-G",3474,"Don Diego de la Vega opposes the corrupt tyrants of Spanish California as the masked swordsman, Zorro."
"206","Batman: Caped Crusader",NA,"2022-",NA,"Animation, Action, Adventure","TV-Y7",NA,"Reimagining of the Batman mythology."
"207","Thundercats","7.9","1985-1989",30,"Animation, Action, Adventure","TV-Y7",17460,"A team of humanoid cats fight evil in their adopted home world."
"208","Transformers Prime","7.9","2010-2013",30,"Animation, Action, Adventure","TV-Y7",6370,"In this new set of adventures the Autobots live on Earth and maintain their secret identity. They are joined by 3 teens as they battle the Decepticons."
"209","The Adventures of Pete & Pete","8.3","1992-1996",30,"Comedy, Drama, Family","TV-Y",9347,"This delightfully quirky show looks at the lives and adventures of two red-headed brothers with the same name."
"210","The Lone Ranger","7.7","1949-1957",30,"Western","TV-G",2438,"The adventures of the masked hero and his Native American partner."
"211","Dragon Ball Z Kai","8.2","2009-2015",24,"Animation, Action, Adventure","TV-14",22291,"An HD and enhanced remaster of Dragon Ball Z."
"212","Zorro","6.8","1990-1993",30,"Adventure, Family, Romance",NA,1707,"In nineteenth century Spanish California, heroic masked swordsman Zorro, who's actually a local nobleman, must protect his friends and small town (or pueblo) of Los Angeles from its corrupt magistrate (or alcalde) and other menaces."
"213","Ghost in the Shell: Stand Alone Complex","8.5","2002-2005",24,"Animation, Action, Crime","TV-MA",19318,"The futuristic adventures of a female cyborg counter intelligence agent and her support team."
"214","Transformers: War for Cybertron Trilogy","7.3","2020-2021",30,"Animation, Action, Adventure","TV-Y7",3510,"Animated series set in the world of battling Autobots and Decepticons."
"215","Superboy","6.2","1988-1992",30,"Adventure, Fantasy, Sci-Fi","TV-PG",1264,"The adventures of the Man of Steel in his teenage years."
"216","Rurouni Kenshin","8.4","1996-1999",24,"Animation, Action, Adventure","TV-14",19023,"The adventures of a young wandering swordsman who stumbles upon a struggling martial arts school in Meiji era Japan."
"217","Totally Spies!","7.1","2001-2014",22,"Animation, Action, Adventure","TV-Y7",9951,"Three teenage girls from Beverly Hills attempt to balance their lives as high school (later university) students with their undercover work as super-spies, battling an array of bizarre criminals."
"218","Batman: The Brave and the Bold","7.3","2008-2011",30,"Animation, Action, Adventure","TV-Y7-FV",8710,"An updated animated series centering on the Caped Crusader himself as he partners and deals with his fellow superheroes in the DC Comics universe."
"219","The Rook","6.8","2019",50,"Drama, Fantasy, Sci-Fi","TV-MA",4623,"This London-set series centers on a young woman pursued by shadowy paranormal adversaries while grappling with extraordinary abilities of her own."
"220","The Electric Company","8.1","1971-2009",28,"Family, Comedy","TV-G",1993,"A comedy variety show that teaches basic phonetic and grammar concepts using live-action sketches, cartoons, songs, and Spider-Man episodes."
"221","Rise of the Teenage Mutant Ninja Turtles","5.5","2018-2020",22,"Animation, Action, Adventure","TV-Y7-FV",2957,"Four mutant turtle brothers go on adventures where they end up tapping into mystic ninja powers."
"222","Hercules","6.6","1998-1999",30,"Animation, Action, Adventure","TV-Y7",10313,"This spin-off of Disney's Hercules (1997) follows Hercules' many labors during the years he spent training how to be a hero under the tutelage of satyr Philoctetes. Olympian Gods and Goddesses, as well as Hades and Pegasus, often visit him."
"223","American Dragon: Jake Long","6.6","2005-2007",30,"Animation, Action, Comedy","TV-G",11514,"A teenage slacker is given the ability to turn into the American Dragon and defends all mythical creatures that secretly reside in the human world."
"224","Beast Wars: Transformers","8.1","1996-1999",30,"Animation, Action, Adventure","TV-Y7",7872,"The Transformers' war continues in an older time, through a new generation. On pliocenic Earth, the heroic Maximals and the evil Predacons battle for survival against each other and against a violent planet."
"225","Powers","6.7","2015-2016",42,"Action, Crime, Drama","TV-MA",6431,"Set in a world where humans and super heroes co-exist, a homicide detective, who had his own powers taken from him, investigates crimes involving superhumans along with his partner."
"226","The Powers of Matthew Star","6.2","1982-1983",60,"Action, Adventure, Sci-Fi",NA,445,"The adventures of high-school student Matthew Star, who is actually a superpowered alien Prince from another world."
"227","Robin Hood","8.4","1984-1986",60,"Action, Drama, Fantasy","TV-PG",4372,"A forest mystical being appoints two men in succession as the legendary outlaw defender of the oppressed."
"228","Big Hero 6: The Series","7.2","2017-2021",21,"Animation, Action, Adventure","TV-Y7",1926,"Teen genius Hiro Hamada, Baymax the robot, and their friends defend the city of San Fransokyo as superheroes."
"229","X-Men '97","Not-Rated","TBA",NA,"Animation, Action, Adventure",NA,NA,"Continuation of X-Men: The Animated Series (1992) ."
"230","Jackie Chan Adventures","7.4","2000-2005",30,"Animation, Action, Adventure","TV-Y7",18983,"Jackie Chan and his extended family must fight a criminal organization for magic talismans that could release an evil spirit."
"231","Marvel Studios: Legends","6.5","2021-",7,"Short, Action, Fantasy","TV-14",3925,"This series showcases individual characters from the MCU viewers have come to know and love over the years and revisit some of their most iconic moments."
"232","Trigun","8.2","1998",24,"Animation, Action, Adventure","TV-14",21046,"Vash the Stampede is the most infamous outlaw on the planet Gunsmoke and with a 60 billion double dollar price on his head the most sought after!"
"233","What's New, Scooby-Doo?","7.3","2002-2006",30,"Animation, Adventure, Comedy","TV-Y7",9250,"Scooby-Doo and the Mystery, Inc. gang are launched into the 21st century, with new mysteries to solve."
"234","Inspector Gadget","6.8","1983-1986",30,"Animation, Action, Adventure","TV-Y7",20514,"A bumbling bionic police inspector stumbles about on his cases, while his niece and dog secretly do the real investigative work."
"235","Extreme Ghostbusters","6.9","1997",23,"Animation, Action, Adventure","TV-Y7",3015,"Several years after the events of the original show and the movies, Dr. Egon Spengler agrees to help a group of his young students re-form the Ghostbusters under his mentorship."
"236","Happy Tree Friends","7","2000-2016",21,"Animation, Comedy, Horror","TV-14",17152,"A series of horrible sudden deaths keep happening to a group of creatures caused by themselves doing the most stupid things."
"237","Mortal Kombat: Legacy","7.4","2011-2013",10,"Short, Action, Adventure","TV-MA",9660,"The first season of Mortal Kombat: Legacy is a prequel to the original game, explaining the background stories of several characters from the series and demonstrating their reasons for ... See full summary »"
"238","Ultraman","6.8","2019-",25,"Animation, Action, Adventure","TV-14",1820,"Shinjiro Hayata learns that his father passed on the ""Ultraman Factor"" to him and fights against evil."
"239","Power Rangers Beast Morphers","6.7","2019-2020",21,"Action, Adventure, Comedy","TV-Y7",571,"Set in the future, a secret agency combines a newly discovered substance called ""Morph-X"" with animal DNA to create the Power Rangers Beast Morphers team."
"240","Batgirl: Spoiled","5.7","2012-",13,"Action",NA,87,"Stephanie Brown has never led a charmed life, but as part of Gothams famed ""Bat Family"" she has thwarted many themed evil-doers and become extremely skilled in her trade. Her world now is ... See full summary »"
"241","My Life as a Teenage Robot","6.9","2002-2022",23,"Animation, Action, Adventure","TV-Y",9826,"The escapades of a super-powered robot who happens to resemble a teenage girl that tries to balance high school and teen problems while trying to save the world from danger."
"242","Star Trek: The Animated Series","7.4","1973-1975",30,"Animation, Action, Adventure","TV-Y7",6777,"The further adventures of Captain James T. Kirk and the crew of the USS Enterprise, as they explore the galaxy and defend the United Federation of Planets."
"243","My Hero","6.6","2000-2007",30,"Comedy, Fantasy, Romance",NA,1909,"Thermoman is a multiple-powered superhero who originates from the planet Ultron. In an attempt to do his best to fit in with life on earth, he creates the human alias of George Sunday."
"244","Sonic X","6.3","2003-2006",30,"Animation, Action, Adventure","TV-Y7",4350,"A slight malfunction causes Chaos Control, and sends Sonic the Hedgehog to Earth. While there, Sonic meets Chris Thorndyke, who aids at collecting the Chaos Emeralds, so Sonic and friends can go home."
"245","NightMan","5.9","1997-1999",45,"Action, Adventure, Drama","TV-14",768,"Based on the comic created by Steve Englehart (who wrote several episodes), Night Man tells the story of Johnny Domino, a jazz musician who gains super powers after getting struck by lightning."
"246","The Tick","7.8","2001-2002",23,"Action, Comedy, Sci-Fi","TV-G",5285,"The story of superhero The Tick, based on the popular comic book."
"247","SuperMansion","7.6","2015-2019",30,"Animation, Comedy","TV-14",1157,"Aging superhero, Titanium Rex, and his has-been team known as The League of Freedom struggle to stay relevant in a changing world."
"248","Thunderbirds","7.9","1965-1966",50,"Animation, Action, Adventure","TV-G",4363,"In the year 2065, the Tracy family run International Rescue - a top-secret organization whose ongoing mission is to rescue people trapped in extraordinarily dangerous situations."
"249","Dragon Ball GT","6.8","1996-2003",24,"Animation, Action, Adventure","TV-PG",26044,"After Goku is made a kid again by the Black Star Dragon Balls, he goes on a journey to get back to his old self."
"250","Generator Rex","7.7","2010-2013",24,"Animation, Action, Adventure","TV-PG",5494,"In a future where humans are infected by untested, microscopic robots, a young man with the ability to control the bots helps a government agency control the tech's vicious creations."
"251","Guardians of the Galaxy","7.3","2015-2019",22,"Animation, Action, Adventure","TV-Y7",3007,"The adventures of a band of space warriors who work to protect the universe from the evil overlord Thanos."
"252","Witchblade","6.5","2001-2002",60,"Action, Drama, Fantasy",NA,2606,"NYPD Det. Sara Pezzini has a supernatural weapon and abilities to help her fight evil."
"253","Power Rangers Samurai","5.1","2011-2012",22,"Action, Adventure, Comedy","TV-Y7",2186,"Five teenagers inherit samurai powers from ancient Japan to protect the world from an army of monsters."
"254","The Green Hornet","7.4","1966-1967",99,"Action, Adventure, Crime","TV-PG",2884,"A newspaper publisher and his Asian valet/martial arts expert battle crime as the feared Green Hornet and Kato."
"255","Æon Flux","7.8","1991-1995",30,"Animation, Adventure, Sci-Fi","TV-MA",6176,"Æon Flux is a mysterious and amoral secret agent from the country of Monica. Her motives or background are left unexplained, as are those of her antagonist/love, Trevor Goodchild. On her ... See full summary »"
"256","Mortal Kombat: Conquest","6.3","1998-1999",40,"Action, Adventure, Fantasy","TV-PG",4704,"Kung Lao has triumphed in the Mortal Kombat tournament, defeating Shang Tsung and saving Earth Realm. Now, he must train a new generation of warriors for the next tournament."
"257","X-Men: Evolution","7.8","2000-2003",23,"Animation, Action, Drama","TV-Y7",11650,"This rendition of X-Men features Cyclops, Jean Grey, Rogue, Nightcrawler, Shadowcat and Spike as teenagers as they fight for a world that fears and hates them."
"258","Man from Atlantis","6.5","1977-1978",60,"Adventure, Fantasy, Sci-Fi",NA,2369,"The adventures of an amphibious man, the last survivor of the legendary sunken city."
"259","My Secret Identity","7.3","1988-1991",25,"Action, Adventure, Comedy",NA,1307,"The adventures of a superpowered teen and his scientist friend."
"260","The Tomorrow People","7.3","1973-1979",30,"Drama, Fantasy, Sci-Fi",NA,709,"A group of teens with psychic and other paranormal abilities use their special gifts to battle evil."
"261","Captain Planet and the Planeteers","6.7","1990-1996",23,"Animation, Short, Action","TV-Y7",11539,"A quintet of teenagers work together to encourage environmentally responsible behavior and can summon a superhero to deal with ecological disasters."
"262","She-Ra: Princess of Power","6.9","1985-1987",22,"Animation, Action, Adventure","TV-Y7",6007,"Princess Adora raises her magic sword and becomes She-Ra, the most powerful woman in the universe, to aid her friends in defeating the Evil Horde so their planet Etheria can be free."
"263","Thundercats","7.8","2011-2012",NA,"Animation, Action, Adventure","TV-PG",7023,"After his home kingdom is destroyed by the ancient devil priest Mumm-Ra, the young Thundercat Lord Lion-O leads a team of survivors as they fight evil on Third Earth."
"264","Static Shock","7.3","2000-2004",30,"Animation, Action, Adventure","TV-Y7",5753,"In the city of Dakota, a teenage boy with electricity based powers, with the help of his inventive friend, fights crime as a superhero."
"265","W.I.T.C.H.","7.3","2004-2006",30,"Animation, Action, Adventure","TV-Y7",3520,"Five teenage girls learn that they have been chosen to guard the walls between parallel universes. For this purpose, they have been given the powers of the elements."
"266","Kung Fu Panda: Legends of Awesomeness","7.1","2011-2016",22,"Animation, Action, Adventure","TV-Y7",6159,"The further adventures of Po the Dragon Warrior and his friends."
"267","RoboCop","5.7","1994",90,"Action, Adventure, Crime","TV-14",2408,"Alex Murphy is RoboCop, a cybernetic policeman. A creation of a vast corporation, he fights crime and occasional corporate conspiracy in the near-future of Old Detroit."
"268","Power Rangers S.P.D.","6.7","2005",22,"Action, Adventure, Sci-Fi","TV-Y7",3038,"When the Earth is threatened by the evil Troobian empire, the SPD (Space Patrol Delta) police force recruits a team of Power Rangers to help defend the planet."
"269","Monkey","8.4","1978-2004",NA,"Action, Family, Adventure",NA,1753,"An adaptation of a Chinese folktale about a pilgrimage to the West undertaken by a monk and his divine guardians."
"270","Fat Albert and the Cosby Kids","6.8","1972-1985",30,"Animation, Comedy, Family","TV-Y7",2308,"The educational adventures of a group of Afro-American inner city kids."
"271","Jonny Quest","7.8","1964-1965",30,"Animation, Action, Adventure","TV-Y7",4650,"The Quest family and their bodyguard investigate strange phenomena and battle villains around the world."
"272","Black Scorpion","6.2","2001",NA,"Action, Crime, Drama","TV-PG",507,"The City of Angels is falling apart, and crime pervades the city to the core. The mayor is corrupt, the police are inept, the city needs a figure to take control of the situation. Then in ... See full summary »"
"273","Space Ghost Coast to Coast","7.9","1993-2012",15,"Animation, Comedy, Sci-Fi",NA,6980,"Space Ghost, a superhero from a 1960s Hanna-Barbara cartoon, hosts his own talk show."
"274","Darker Than Black","7.7","2007-2010",24,"Animation, Action, Drama","TV-MA",11586,"In Tokyo, an impenetrable field known as ""Hell's Gate"" appeared ten years ago. At the same time, psychics who wield paranormal powers at the cost of their conscience also emerged. Hei is ... See full summary »"
"275","Baymax!",NA,"2022-",NA,"Animation, Action, Adventure",NA,NA,"The characters in the unique city of Big Hero 6 get their own series, packed with adventures."
"276","Wolverine and the X-Men","8","2008-2009",23,"Animation, Action, Adventure","TV-Y7",10816,"After an explosion at the school, the X-Men went their separate ways. But they must unite once again under the leadership of Wolverine to prevent an inevitable war while also dealing with present problems."
"277","Super Friends","7.3","1973-1985",60,"Animation, Action, Adventure","TV-G",2426,"The greatest of the DC Comics superheroes work together to uphold the good with the help of some young proteges."
"278","Power Rangers Dino Charge","6.5","2015-2016",21,"Action, Adventure, Family","TV-Y7",1316,"On prehistoric Earth, an alien entrusted powerful Energems to 10 dinosaurs, but when the dinosaurs went extinct, the Energems were lost. Now an intergalactic bounty hunter is determined to ... See full summary »"
"279","Street Hawk","6.8","1985",60,"Action, Crime, Mystery","TV-PG",3193,"A desk bound cop secretly fights crime as the test pilot for a prototype combat motorcycle."
"280","Thunderbirds Are Go","6.8","2015-2020",22,"Animation, Action, Adventure","TV-G",1632,"In the future, the Tracy family run a private mechanized emergency response service."
"281","Green Lantern","Not-Rated","TBA",NA,"Action, Adventure, Drama",NA,NA,"Series based on the DC comics' Green Lantern characters."
"282","Manimal","6.5","1983",60,"Adventure, Crime, Fantasy","TV-PG",1937,"A man who can change himself into any animal fights crime."
"283","Darkwing Duck","7.6","1991-1992",30,"Animation, Action, Adventure","TV-Y7",15974,"A bumbling superhero battles crime with the help of his daughter and pilot sidekick."
"284","Black Dynamite","8.1","2011-2015",22,"Animation, Action, Adventure","TV-MA",4409,"Action comedy-spoof that follows ex-C. I. A. Agent and full-time ladies man, Black Dynamite, who's out to avenge the death of his brother against kung-fu masters, drug-dealing pimps, and The Man."
"285","Power Rangers Lost Galaxy","6.9","1999-2000",30,"Action, Adventure, Family","TV-Y7",2321,"Power-Packed Adventure! Action-Packed Fun! A time in the future. The space colony Terra Venture journeys beyond Earth in search of new worlds. Peace reigns throughout the cosmos...or does ... See full summary »"
"286","Spider-Man","7.4","1967-1970",25,"Animation, Action, Adventure","TV-Y7",3624,"Original cartoon series based on the web-slinging Marvel comic book character, Peter Parker, who, after being bit by a radioactive spider, assumes extraordinary powers."
"287","Harvey Birdman, Attorney at Law","8","2000-2007",15,"Animation, Comedy, Sci-Fi","TV-14",11381,"Third-rate superhero Harvey Birdman gets a new lease on life when he becomes a lawyer."
"288","ReBoot","7.8","1994-2001",30,"Animation, Short, Action","TV-Y7",5361,"In the inner computer world of Mainframe, a guardian program sprite and his friends defend the system from threats from viruses and the User."
"289","Spider-Man","7","2003",21,"Animation, Action, Adventure","TV-PG",5281,"A young man with spider like abilities fights crime as a superhero in New York City while trying to have a normal personal life."
"290","Powerless","6.4","2017",21,"Comedy, Fantasy, Sci-Fi",NA,6925,"Follow the staff of an insurance company, specialising in products to protect defenseless bystanders from the collateral damage of Superheroes and Supervillains."
"291","Be Cool, Scooby-Doo!","6.3","2015-2018",23,"Animation, Adventure, Comedy","TV-Y7-FV",2180,"The Scooby gang continues to solve mysteries during what could be their last summer together, but monsters and ghouls get in the way of completing their adventures."
"292","Sonic the Hedgehog","6.8","1993-1994",30,"Animation, Short, Action","TV-Y7-FV",4975,"In a post-apocalyptic and dystopian future, all life has been challenged by oppression and tyranny, as the evil Dr. Robotnik is on the wake of controlling Mobius."
"293","Dungeons & Dragons","8","1983-1985",30,"Animation, Adventure, Comedy","TV-Y7",5003,"A group of kids are thrown into a fantasy world where they must search for a way home, armed with magic weapons that an evil tyrant wants."
"294","Voltron: Defender of the Universe","7.9","1984-1985",24,"Animation, Family, Sci-Fi","TV-Y7",4688,"This series focuses on five lion robots and their pilots as they fight the evil forces of King Zarkon and Prince Lotor."
"295","The Powerpuff Girls","3.4","2016-2019",60,"Animation, Action, Comedy","TV-Y7-FV",4147,"Made from sugar, spice, everything nice and Chemical X by the Professor; Blossom, Bubbles, and Buttercup now use their superpowers and super cuteness to save the world (or at least Townsville) from evil villains and all things icky."
